id,koder,avis,medieaktoer,valg,laengde,aktoer,institut,medie,stikproeve,ordlyd,usikkerhed,indsamling,metode
19,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",148,1,1,1,0,0,0,0,0
20,"Simon Grundt Straubinger",1,"Berlingske","2007",1768,3,1,1,0,0,0,0,0
20,"Erik Gahner Larsen",1,"Berlingske","2005",495,4,1,1,1,1,0,1,1
20,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",159,1,1,1,0,0,0,0,0
20,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",127,1,1,1,1,0,0,0,0
21,"Simon Grundt Straubinger",0,"Berlingske","2005",250,1,1,1,1,1,1,1,1
21,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",99,1,1,0,0,0,0,0,0
21,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",356,1,1,1,1,0,1,1,0
21,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",175,1,1,1,0,0,0,1,0
22,"Simon Grundt Straubinger",0,"Berlingske","2005",215,2,1,1,1,0,0,0,1
22,"Simon Grundt Straubinger",0,"Berlingske","2011",252,2,1,1,1,1,1,1,1
22,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",292,3,1,1,1,0,0,0,0
22,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
22,"Erik Gahner Larsen",1,"Politiken","2005",70,1,1,1,1,1,0,1,1
22,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",240,1,1,1,1,0,1,1,1
22,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",663,2,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Berlingske","2011",864,4,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",140,1,1,0,0,0,0,0,0
23,"Erik Gahner Larsen",0,"Politiken","2007",339,1,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Politiken","2005",158,1,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Berlingske","2005",267,1,1,1,0,0,0,0,0
24,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",156,1,1,1,1,0,0,0,0
24,"Erik Gahner Larsen",0,"Politiken","2011",545,3,1,1,1,1,0,0,0
24,"Simon Grundt Straubinger",0,"Berlingske","2005",105,1,1,1,0,0,0,0,0
25,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",480,4,1,1,0,0,0,0,0
25,"Simon Grundt Straubinger",1,"Berlingske","2007",396,2,1,1,1,1,0,1,1
25,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
25,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",302,3,1,1,0,0,0,0,0
26,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",731,4,1,1,1,1,0,1,1
26,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",185,1,1,1,0,0,0,0,0
26,"Simon Grundt Straubinger",0,"Berlingske","2005",229,1,1,1,0,0,0,0,0
27,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",171,1,1,1,0,0,0,0,0
27,"Simon Grundt Straubinger",0,"Berlingske","2005",203,1,1,1,1,0,0,1,0
27,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",190,2,1,1,0,0,0,0,0
28,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
28,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",175,3,1,1,0,0,0,0,0
28,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
28,"Simon Grundt Straubinger",1,"Berlingske","2011",83,1,1,1,0,0,0,0,0
29,"Simon Grundt Straubinger",0,"Berlingske","2005",159,1,1,1,0,0,0,0,0
29,"Simon Grundt Straubinger",1,"Berlingske","2011",351,4,1,1,1,0,0,0,1
29,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",203,1,1,1,1,0,0,1,0
29,"Erik Gahner Larsen",0,"Berlingske","2007",141,1,1,0,0,0,0,0,0
29,"Simon Grundt Straubinger",0,"Politiken","2005",184,1,1,1,0,0,0,0,0
29,"Erik Gahner Larsen",1,"Berlingske","2005",939,4,1,1,1,1,0,1,1
29,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",560,2,1,1,0,0,0,0,0
30,"Simon Grundt Straubinger",0,"Berlingske","2005",158,2,1,1,0,0,0,0,0
30,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",369,3,1,1,1,0,0,0,0
30,"Simon Grundt Straubinger",0,"Berlingske","2011",253,1,1,1,1,0,0,0,0
30,"Simon Grundt Straubinger",1,"Berlingske","2007",333,2,1,1,1,1,0,1,1
31,"Simon Grundt Straubinger",0,"Berlingske","2011",187,1,1,1,1,1,1,1,0
31,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",216,1,1,1,1,0,1,1,0
32,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
32,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",82,1,1,1,1,0,0,0,0
32,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",117,1,1,1,0,0,0,0,0
34,"Simon Grundt Straubinger",0,"Berlingske","2005",392,2,1,1,0,0,0,0,0
34,"Erik Gahner Larsen",1,"Berlingske","2005",205,1,1,1,1,1,0,1,1
34,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",155,1,1,1,1,0,0,0,0
34,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",186,1,1,0,1,0,0,0,0
35,"Erik Gahner Larsen",0,"Politiken","2007",320,1,1,1,0,0,0,0,0
35,"Simon Grundt Straubinger",0,"Politiken","2005",347,2,1,1,1,0,0,0,0
35,"Simon Grundt Straubinger",0,"Berlingske","2005",424,2,1,1,0,0,0,0,0
35,"Simon Grundt Straubinger",0,"Berlingske","2011",271,2,1,1,0,0,0,0,0
35,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",94,1,1,1,1,0,0,0,0
36,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
36,"Simon Grundt Straubinger",0,"Berlingske","2011",295,1,1,1,0,0,0,0,0
37,"Erik Gahner Larsen",0,"Politiken","2011",254,1,1,1,1,0,0,1,0
37,"Erik Gahner Larsen",1,"Berlingske","2005",144,1,1,1,0,0,0,0,0
38,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
38,"Erik Gahner Larsen",0,"Politiken","2007",350,1,1,1,0,0,0,0,0
38,"Simon Grundt Straubinger",1,"Berlingske","2007",339,2,1,1,1,1,0,1,1
38,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",290,2,1,1,0,0,0,0,0
38,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",318,1,1,1,1,0,0,1,0
38,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",532,2,1,1,1,1,0,1,0
39,"Simon Grundt Straubinger",0,"Politiken","2005",412,4,0,0,0,0,0,0,0
39,"Simon Grundt Straubinger",0,"Berlingske","2005",302,1,1,1,1,1,1,1,1
39,"Erik Gahner Larsen",1,"Berlingske","2005",81,1,1,1,0,0,0,0,0
39,"Simon Grundt Straubinger",1,"Berlingske","2007",377,3,1,1,1,1,0,1,1
40,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
40,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",148,1,1,1,0,0,0,0,0
40,"Erik Gahner Larsen",0,"Politiken","2007",271,1,1,1,0,0,0,0,0
40,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",158,1,1,1,1,0,0,1,0
40,"Simon Grundt Straubinger",0,"Politiken","2005",212,3,1,1,0,0,0,0,1
41,"Erik Gahner Larsen",0,"Politiken","2007",696,3,1,1,1,1,0,0,0
41,"Erik Gahner Larsen",0,"Berlingske","2007",149,1,1,1,0,0,0,0,0
42,"Erik Gahner Larsen",1,"Politiken","2011",64,1,1,1,0,0,0,0,0
42,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",160,1,1,1,0,0,1,1,0
43,"Simon Grundt Straubinger",0,"Berlingske","2005",156,1,1,1,1,0,0,0,0
43,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",312,1,1,1,0,0,0,0,0
43,"Erik Gahner Larsen",1,"Politiken","2011",780,1,1,1,1,0,0,0,0
44,"Simon Grundt Straubinger",1,"Politiken","2007",784,1,1,1,1,1,0,1,1
45,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",189,1,1,1,0,0,1,0,0
45,"Erik Gahner Larsen",0,"Berlingske","2007",362,2,1,1,0,0,0,0,0
45,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,0,0
46,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",179,1,1,1,0,0,0,0,0
47,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
48,"Simon Grundt Straubinger",0,"Berlingske","2005",294,1,1,1,1,1,1,1,1
48,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",237,3,1,1,0,0,0,0,0
48,"Simon Grundt Straubinger",1,"Berlingske","2007",467,2,1,1,1,1,0,1,1
49,"Simon Grundt Straubinger",0,"Politiken","2005",369,4,1,1,0,0,0,0,1
49,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",367,1,1,1,1,1,1,1,1
49,"Erik Gahner Larsen",0,"Politiken","2011",361,3,1,1,1,1,0,1,0
49,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",131,1,1,1,0,0,0,0,0
50,"Erik Gahner Larsen",1,"Berlingske","2005",395,2,1,1,0,0,0,0,0
50,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",306,1,1,1,1,0,1,1,1
50,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",435,2,1,0,0,0,0,0,0
50,"Simon Grundt Straubinger",0,"Berlingske","2005",159,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",0,"Berlingske","2005",99,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",193,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",1,"Berlingske","2007",473,4,1,1,1,1,0,1,1
51,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",316,1,1,1,0,1,0,0,0
52,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",124,3,1,0,0,0,0,0,0
52,"Simon Grundt Straubinger",0,"Berlingske","2005",181,1,1,1,0,0,1,0,0
52,"Erik Gahner Larsen",0,"Berlingske","2007",496,2,1,1,1,0,0,0,0
52,"Erik Gahner Larsen",1,"Berlingske","2005",363,2,1,1,1,1,0,1,1
54,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",405,1,1,1,1,1,1,1,1
54,"Erik Gahner Larsen",1,"Berlingske","2005",67,1,1,1,0,0,0,1,0
55,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
55,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",115,1,1,1,0,0,0,0,0
55,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",338,3,1,1,1,0,0,1,0
55,"Simon Grundt Straubinger",1,"Berlingske","2007",336,4,1,1,1,1,0,1,1
56,"Simon Grundt Straubinger",0,"Berlingske","2005",194,1,1,1,0,0,0,0,0
56,"Simon Grundt Straubinger",0,"Berlingske","2011",322,2,1,1,1,0,1,1,1
57,"Simon Grundt Straubinger",1,"Berlingske","2007",453,2,1,1,1,1,0,1,1
57,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",576,2,1,1,0,0,0,0,0
58,"Erik Gahner Larsen",0,"Politiken","2007",390,1,1,1,0,0,0,0,0
58,"Simon Grundt Straubinger",0,"Berlingske","2005",513,2,1,1,0,0,0,0,0
60,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",273,4,1,1,0,0,0,0,0
60,"Erik Gahner Larsen",1,"Berlingske","2005",66,1,1,1,0,0,0,1,0
60,"Erik Gahner Larsen",0,"Politiken","2011",234,1,1,1,0,0,0,0,0
61,"Simon Grundt Straubinger",0,"Berlingske","2005",155,1,1,1,1,0,0,0,1
